nombre,<50% (muy por debajo),Normal,Total
Luis Romo,0,8,8
Armando González,2,6,8
Bryan González,0,8,8
Cade Cowell,2,6,8
Diego Campillo,0,8,8
Efraín Álvarez,0,8,8
Alan Mozo,0,7,7
Roberto Alvarado,0,7,7
Richard Ledezma,1,6,7
José Castillo,0,7,7
Daniel Aguirre,0,7,7
Alan Pulido,0,6,6
Erick Gutiérrez,0,6,6
Hugo Camberos,2,3,5
Raúl Rangel,0,4,4
Santiago Sandoval,2,2,4
Gilberto Sepulveda,0,4,4
Miguel Gómez,3,1,4
Teun Wilke,1,1,2
Rubén González,1,1,2
Omar Govea,0,2,2
Isaác Brisuela,0,2,2
Luis Olivas,0,2,2
Javier Hernández,0,2,2
Yael Padilla,0,2,2
Raúl Martínez,1,0,1
Miguel Tapias,0,1,1
