fecha,distancia_total,hsr_abs_m,hmld_m,sprints_distancia_m,acc_3,dec_3,player_load,rpe,carga_explosiva,carga_sostenida,carga_regenerativa,rendimiento_diario,hsr_rel_m,sprints_cantidad,sprints_vel_max_kmh,velocidad_prom_m_min
2025-05-23,3294,0,170,0,7,1,49,4,23.5,179.8,1562.0,1970-01-01 00:00:00.000000004,0,0,18.3,92
2025-05-27,10000,227,1388,99,45,47,170,6,554.9,1422.0,4192.5,1970-01-01 00:00:00.000000080,46,6,28.4,130
2025-05-29,9176,237,1140,8,29,30,154,8,451.4,1170.8,3899.5,1970-01-01 00:00:00.000000062,0,1,24.2,116
2025-05-30,8437,262,1327,77,44,73,165,7,653.9,1360.0,3424.0,1970-01-01 00:00:00.000000086,30,5,29.2,59
2025-05-27,9647,184,1409,0,42,45,153,8,459.29999999999995,1439.6,4027.0,1970-01-01 00:00:00.000000073,7,0,24.2,126
2025-05-29,9903,825,1758,70,38,42,148,7,1219.0,1787.6,3660.0,1970-01-01 00:00:00.000000100,86,2,24.9,123
2025-05-26,7300,720,2071,0,112,71,117,7,1377.5,2094.4,2254.5,1970-01-01 00:00:00.000000097,0,0,23.9,92
2025-05-27,9948,446,1973,15,63,81,151,5,931.6999999999999,2003.2,3764.5,1970-01-01 00:00:00.000000082,10,1,25.9,129
2025-05-29,10232,829,2422,85,41,44,151,6,1237.8,2452.2,3490.5,1970-01-01 00:00:00.000000094,14,2,27.7,126
2025-05-30,8524,213,1754,56,100,130,147,5,905.6,1783.4,3278.5,1970-01-01 00:00:00.000000081,28,5,25.7,62
2025-05-26,6138,474,1395,0,91,53,114,7,974.3,1417.8,2134.5,1970-01-01 00:00:00.000000084,0,0,23.2,77
2025-05-27,9372,288,1579,31,56,63,157,9,681.0999999999999,1610.4,3752.5,1970-01-01 00:00:00.000000080,0,2,25.2,122
2025-05-26,6387,550,1587,33,89,54,112,8,1067.0,1609.4,2125.0,1970-01-01 00:00:00.000000093,0,1,24.1,80
2025-05-27,9323,184,1257,86,43,58,153,8,529.8,1287.6,3941.0,1970-01-01 00:00:00.000000064,9,7,28.6,123
2025-05-29,9369,309,1373,35,41,35,152,7,596.3,1403.4,3843.5,1970-01-01 00:00:00.000000072,0,3,26.8,118
2025-05-30,8446,251,1467,79,91,116,166,7,889.2,1500.2,3364.0,1970-01-01 00:00:00.000000090,36,5,33.0,62
2025-05-26,6532,419,1480,0,88,48,125,8,886.8,1505.0,2316.5,1970-01-01 00:00:00.000000064,0,0,23.3,82
2025-05-27,9186,371,1405,43,41,44,163,8,683.2,1437.6,3705.0,1970-01-01 00:00:00.000000063,0,1,24.4,122
2025-05-29,9875,746,2241,23,44,48,167,9,1152.1999999999998,2274.4,3444.0,1970-01-01 00:00:00.000000094,19,1,26.6,123
2025-05-30,8313,39,956,14,63,71,169,7,418.3,989.8,3659.0,1970-01-01 00:00:00.000000042,12,1,27.2,60
2025-05-27,5782,214,872,106,82,82,70,0,732.8,886.0,2348.0,1970-01-01 00:00:00.000000079,78,5,27.6,90
2025-05-27,9087,238,1255,0,36,27,176,9,461.09999999999997,1290.2,3797.0,1970-01-01 00:00:00.000000051,0,0,23.1,121
2025-05-29,9229,769,1572,50,29,40,0,8,1114.8,1572.0,3444.0,1970-01-01 00:00:00.000000094,0,1,24.4,118
2025-05-30,7490,113,1328,50,97,100,15,7,691.6,1331.0,3024.5,1970-01-01 00:00:00.000000063,33,3,28.9,56
2025-05-26,6973,556,1695,0,94,69,118,8,1121.6999999999998,1718.6,2361.0,1970-01-01 00:00:00.000000089,0,0,23.5,88
2025-05-27,10326,308,1558,7,39,62,176,7,646.5999999999999,1593.2,4230.0,1970-01-01 00:00:00.000000074,7,1,24.1,132
2025-05-29,10414,1152,1982,180,35,45,180,8,1609.8999999999999,2018.0,3640.0,1970-01-01 00:00:00.000000099,180,2,24.6,127
2025-05-30,9196,33,1534,0,75,114,186,7,549.6,1571.2,3814.5,1970-01-01 00:00:00.000000069,0,0,22.3,64
2025-05-23,3306,0,219,0,5,2,48,5,20.0,228.6,1543.5,1970-01-01 00:00:00.000000001,0,0,17.5,92
2025-05-27,9889,110,1103,0,19,38,142,8,284.0,1131.4,4338.0,1970-01-01 00:00:00.000000046,0,0,23.7,127
2025-05-29,10136,68,1383,9,25,22,143,8,216.6,1411.6,4342.5,1970-01-01 00:00:00.000000050,0,1,24.9,124
2025-05-30,9934,316,1561,97,49,75,154,7,738.7,1591.8,4028.5,1970-01-01 00:00:00.000000087,59,5,28.7,69
2025-05-27,8848,213,1313,29,65,81,144,7,673.1,1341.8,3661.0,1970-01-01 00:00:00.000000096,0,4,25.2,75
2025-05-27,9837,108,1103,0,26,40,138,7,307.6,1130.6,4313.0,1970-01-01 00:00:00.000000052,0,0,23.3,130
2025-05-29,9720,206,1284,0,17,30,127,6,373.2,1309.4,4115.0,1970-01-01 00:00:00.000000060,0,0,22.8,122
2025-05-26,6486,334,1487,0,89,59,90,8,815.3,1505.0,2332.5,1970-01-01 00:00:00.000000089,60,0,23.3,81
2025-05-27,9571,173,1078,27,34,36,134,9,409.6,1104.8,4160.0,1970-01-01 00:00:00.000000057,54,2,25.3,126
2025-05-29,9758,366,1448,10,46,41,131,10,684.7,1474.2,3972.0,1970-01-01 00:00:00.000000088,12,1,24.7,120
2025-05-30,8624,39,1382,9,113,98,132,6,635.8,1408.4,3601.5,1970-01-01 00:00:00.000000082,11,1,24.7,62
2025-05-26,7359,720,1758,84,98,67,110,9,1340.5,1780.0,2440.5,1970-01-01 00:00:00.000000091,0,3,29.4,92
2025-05-27,10285,264,1387,45,57,52,148,8,627.8,1416.6,4317.0,1970-01-01 00:00:00.000000068,35,2,29.8,133
2025-05-29,9767,453,1518,28,34,46,137,10,770.6,1545.4,3898.0,1970-01-01 00:00:00.000000081,0,2,24.9,123
2025-05-30,9645,176,1734,74,136,143,158,7,1011.7,1765.6,3867.5,1970-01-01 00:00:00.000000099,13,7,29.0,69
2025-05-26,6503,744,1513,0,91,65,151,10,1328.3,1543.2,2123.0,1970-01-01 00:00:00.000000092,0,0,23.8,82
2025-05-27,9832,83,773,8,23,37,181,8,266.1,809.2,4488.0,1970-01-01 00:00:00.000000048,0,1,26.0,127
2025-05-29,10278,445,1250,23,44,53,190,7,808.5,1288.0,4291.5,1970-01-01 00:00:00.000000099,0,2,26.1,125
2025-05-30,9146,73,1290,29,79,72,187,7,514.6,1327.4,3891.5,1970-01-01 00:00:00.000000080,11,2,28.9,65
2025-05-26,6973,556,1695,0,94,69,118,9,1121.6999999999998,1718.6,2361.0,1970-01-01 00:00:00.000000093,0,0,23.5,88
2025-05-27,9836,258,1495,13,34,55,160,9,554.0999999999999,1527.0,4041.5,1970-01-01 00:00:00.000000082,0,1,25.1,126
2025-05-29,9997,132,1669,0,38,43,158,9,379.9,1700.6,4098.0,1970-01-01 00:00:00.000000071,0,0,24.2,122
2025-05-26,7067,588,1572,0,91,52,104,10,1108.6,1592.8,2453.5,1970-01-01 00:00:00.000000082,0,0,22.9,89
2025-05-27,9810,195,1112,33,52,44,136,7,510.0,1139.2,4251.5,1970-01-01 00:00:00.000000046,29,2,26.3,129
2025-05-29,10804,366,1913,81,55,59,155,9,781.7,1944.0,4262.5,1970-01-01 00:00:00.000000086,65,6,26.5,131
2025-05-30,9366,102,1662,46,103,117,353,9,733.9,1732.6,3801.0,1970-01-01 00:00:00.000000078,40,2,28.6,66
2025-05-31,4820,209,998,80,31,26,1602,5,443.79999999999995,1318.4,1806.5,1970-01-01 00:00:00.000000035,55,7,29.5,95
2025-05-27,10383,88,1392,10,41,73,170,8,416.1,1426.0,4451.5,1970-01-01 00:00:00.000000067,0,1,25.5,132
2025-05-29,9927,651,1615,83,33,43,166,8,997.6999999999999,1648.2,3830.5,1970-01-01 00:00:00.000000100,0,2,25.7,123
